date,prizeId,qty
2025-12-06,SPLIT,0
2025-12-06,TV65,0
2025-12-06,TV55,0
2025-12-06,PARLANTERECARGABLE,1
2025-12-06,CELULARREDNI,0
2025-12-06,REFRIGERADORA,0
2025-12-06,MIMOSAFRUTOSROJOS,0
2025-12-06,GRANDDUVALBLANCO375CC,10
2025-12-06,GRANDDUVAL750CC,0
2025-12-06,MONTSANT,10
2025-12-06,SIDRAL,8
2025-12-06,SUERTEPROXIMA,500
2025-12-07,TAZAS,45
2025-12-07,BOMBILLOS,80
2025-12-07,SUPEREXITO-20,8
2025-12-07,SUPEREXITO-25,0
2025-12-07,DMUJERES-20,2
2025-12-07,POLIPAPEL-10,0
2025-12-07,KRISPYKREME,20
2025-12-07,TRIODONAS,10
2025-12-07,ENTRADASCINE,30
2025-12-07,PARRILLAASADORA,
2025-12-07,AIRFRYER,1
2025-12-07,LICUADORA,0
2025-12-07,SANDUCHERA,0
2025-12-07,OLLAARROCERA,0
2025-12-07,CAFETERA,0
2025-12-07,BATIDORAMANO,0
2025-12-07,PARRILLASANDUCHERA,0
2025-12-07,SPLIT,0
2025-12-07,TV65,0
2025-12-07,TV55,1
2025-12-07,PARLANTERECARGABLE,1
2025-12-07,CELULARREDNI,0
2025-12-07,REFRIGERADORA,0
2025-12-07,MIMOSAFRUTOSROJOS,0
2025-12-07,GRANDDUVALBLANCO375CC,10
2025-12-07,GRANDDUVAL750CC,0
2025-12-07,MONTSANT,10
2025-12-07,SIDRAL,8
2025-12-07,SUERTEPROXIMA,500
2025-12-11,TAZAS,40
2025-12-11,BOMBILLOS,85
2025-12-11,SUPEREXITO-20,5
2025-12-11,SUPEREXITO-25,0
2025-12-11,DMUJERES-20,2
2025-12-11,POLIPAPEL-10,0
2025-12-11,KRISPYKREME,20
2025-12-11,TRIODONAS,10
2025-12-11,ENTRADASCINE,25
2025-12-11,PARRILLAASADORA,
2025-12-11,AIRFRYER,1
2025-12-11,LICUADORA,0
2025-12-11,SANDUCHERA,0
2025-12-11,OLLAARROCERA,0
2025-12-11,CAFETERA,0
2025-12-11,BATIDORAMANO,0
2025-12-11,PARRILLASANDUCHERA,0
2025-12-11,SPLIT,0
2025-12-11,TV65,0
2025-12-11,TV55,0
2025-12-11,PARLANTERECARGABLE,1
2025-12-11,CELULARREDNI,0
2025-12-11,REFRIGERADORA,0
2025-12-11,MIMOSAFRUTOSROJOS,0
2025-12-11,GRANDDUVALBLANCO375CC,5
2025-12-11,GRANDDUVAL750CC,0
2025-12-11,MONTSANT,10
2025-12-11,SIDRAL,8
2025-12-11,SUERTEPROXIMA,500
2025-12-12,TAZAS,40
2025-12-12,BOMBILLOS,85
2025-12-12,SUPEREXITO-20,5
2025-12-12,SUPEREXITO-25,0
2025-12-12,DMUJERES-20,2
2025-12-12,POLIPAPEL-10,0
2025-12-12,KRISPYKREME,20
2025-12-12,TRIODONAS,10
2025-12-12,ENTRADASCINE,25
2025-12-12,PARRILLAASADORA,
2025-12-12,AIRFRYER,1
2025-12-12,LICUADORA,0
2025-12-12,SANDUCHERA,0
2025-12-12,OLLAARROCERA,0
2025-12-12,CAFETERA,0
2025-12-12,BATIDORAMANO,0
2025-12-12,PARRILLASANDUCHERA,0
2025-12-12,SPLIT,0
2025-12-12,TV65,0
2025-12-12,TV55,0
2025-12-12,PARLANTERECARGABLE,1
2025-12-12,CELULARREDNI,0
2025-12-12,REFRIGERADORA,0
2025-12-12,MIMOSAFRUTOSROJOS,0
2025-12-12,GRANDDUVALBLANCO375CC,5
2025-12-12,GRANDDUVAL750CC,0
2025-12-12,MONTSANT,10
2025-12-12,SIDRAL,8
2025-12-12,SUERTEPROXIMA,500
2025-12-13,TAZAS,45
2025-12-13,BOMBILLOS,80
2025-12-13,SUPEREXITO-20,10
2025-12-13,SUPEREXITO-25,0
2025-12-13,DMUJERES-20,2
2025-12-13,POLIPAPEL-10,0
2025-12-13,KRISPYKREME,20
2025-12-13,TRIODONAS,10
2025-12-13,ENTRADASCINE,30
2025-12-13,PARRILLAASADORA,
2025-12-13,AIRFRYER,1
